,COD_APE,DATA_INS,RESIDENZIALE,NON_RESIDENZIALE,COMUNE_CATASTALE,SEZIONE_x,FOGLIO,PARTICELLA,SUBALTERNO_x,PROPRIETA_PUBBLICA,USO_PUBBLICO,CLASSIFICAZIONE_DPR,INTERO_EDIFICIO,UNITA_IMMOBILIARE,GRUPPO_UNITA_IMMOBILIARI,NUMERO_UNITA_IMMOBILIARI,NUOVA_COSTRUZIONE,PASSAGGIO_PROPRIETA,LOCAZIONE,RISTRUTTURAZIONE_IMPORTANTE,RIQUALIFICAZIONE_ENERGETICA,OGGETTO_ALTRO,OGGETTO_ALTRO_TXT,REGIONE,COMUNE_x,INDIRIZZO_x,PIANO,INTERNO,WGS84_X,WGS84_Y,location,ZONA_CLIMATICA,ANNO_COSTRUZIONE_x,SUPERF_UTILE_RISCALDATA,SUPERF_UTILE_RAFFRESCATA,VOLUME_LORDO_RISCALDATO,VOLUME_LORDO_RAFFRESCATO,CLIMATIZZAZIONE_INVERNALE,CLIMATIZZAZIONE_ESTIVA,VENTILAZIONE_MECCANICA,PROD_ACQUA_CALDA_SANITARIA,ILLUMINAZIONE,TRASPORTO_PERSONE_COSE,PI,PE,EDIFICIO_ENERGIA_QUASI_ZERO,CLASSE_ENERGETICA_x,EP_GL_NREN,Y,Z,EP_GL_REN,EMISSIONI_CO2,CONSUMI_ENERGIA_ELETTRICA,CONSUMI_GAS_NATURALE,CONSUMI_GPL,CONSUMI_CARBONE,CONSUMI_GASOLIO,CONSUMI_BIOMASSE_SOLIDE,CONSUMI_BIOMASSE_LIQUIDE,CONSUMI_BIOMASSE_GASSOSE,CONSUMI_SOLARE_FOTOVOLTAICO,CONSUMI_SOLARE_TERMICO,CONSUMI_EOLICO,CONSUMI_TELERISCALDAMENTO,CONSUMI_TELERAFFRESCAMENTO,CONSUMI_ALTRO,RIQ_CLASSE_RAGG,RIQ_EP_GL_NREN_RAGG,DS_CODICE_INTERVENTO_1,DS_TIPO_INTERVENTO_1,FL_COMPORTA_RISTRUT_1,NM_TEMPO_RITORNO_INVESTIM_1,DS_CLASSE_RAGGIUNGIBILE_1,NM_EP_GL_NREN_RAGGIUNG_1,DS_CODICE_INTERVENTO_2,DS_TIPO_INTERVENTO_2,FL_COMPORTA_RISTRUT_2,NM_TEMPO_RITORNO_INVESTIM_2,DS_CLASSE_RAGGIUNGIBILE_2,NM_EP_GL_NREN_RAGGIUNG_2,DS_CODICE_INTERVENTO_3,DS_TIPO_INTERVENTO_3,FL_COMPORTA_RISTRUT_3,NM_TEMPO_RITORNO_INVESTIM_3,DS_CLASSE_RAGGIUNGIBILE_3,NM_EP_GL_NREN_RAGGIUNG_3,DS_CODICE_INTERVENTO_4,DS_TIPO_INTERVENTO_4,FL_COMPORTA_RISTRUT_4,NM_TEMPO_RITORNO_INVESTIM_4,DS_CLASSE_RAGGIUNGIBILE_4,NM_EP_GL_NREN_RAGGIUNG_4,DS_CODICE_INTERVENTO_5,DS_TIPO_INTERVENTO_5,FL_COMPORTA_RISTRUT_5,NM_TEMPO_RITORNO_INVESTIM_5,DS_CLASSE_RAGGIUNGIBILE_5,NM_EP_GL_NREN_RAGGIUNG_5,DS_CODICE_INTERVENTO_6,DS_TIPO_INTERVENTO_6,FL_COMPORTA_RISTRUT_6,NM_TEMPO_RITORNO_INVESTIM_6,DS_CLASSE_RAGGIUNGIBILE_6,NM_EP_GL_NREN_RAGGIUNG_6,DS_CODICE_INTERVENTO_7,DS_TIPO_INTERVENTO_7,FL_COMPORTA_RISTRUT_7,NM_TEMPO_RITORNO_INVESTIM_7,DS_CLASSE_RAGGIUNGIBILE_7,NM_EP_GL_NREN_RAGGIUNG_7,ENERGIA_ESPORTATA,VETTORE_ENERGETICO,SUPERFICIE_DISPERDENTE_x,RAPPORTO_SV,EP_H_ND,A_SOL_EST_A_SUP_UTILE,Y_IE,CI_TIPO_IMPIANTO_1,CI_ANNO_INSTALLAZIONE_1,CI_CODICE_CATASTO_1,CI_VETTORE_ENERGETICO_1,CI_POTENZA_NOMINALE_1,CI_TIPO_IMPIANTO_2,CI_ANNO_INSTALLAZIONE_2,CI_VETTORE_ENERGETICO_2,CI_POTENZA_NOMINALE_2,CI_EFFICIENZA_MEDIA,CI_EPREN,CI_EPNREN,CE_TIPO_IMPIANTO_1,CE_ANNO_INSTALLAZIONE_1,CE_VETTORE_ENERGETICO_1,CE_POTENZA_NOMINALE_1,CE_TIPO_IMPIANTO_2,CE_ANNO_INSTALLAZIONE_2,CE_VETTORE_ENERGETICO_2,CE_POTENZA_NOMINALE_2,CE_EFFICIENZA_MEDIA,CE_EPREN,CE_EPNREN,PA_TIPO_IMPIANTO,PA_ANNO_INSTALLAZIONE,PA_VETTORE_ENERGETICO,PA_POTENZA_NOMINALE,PA_EFFICIENZA_MEDIA,PA_EPREN,PA_EPNREN,IC_TIPO_IMPIANTO,IC_ANNO_INSTALLAZIONE,IC_VETTORE_ENERGETICO,IC_POTENZA_NOMINALE,IC_EFFICIENZA_MEDIA,IC_EPREN,IC_EPNREN,PFR_TIPO_IMPIANTO_1,PFR_ANNO_INSTALLAZIONE_1,PFR_VETTORE_ENERGETICO_1,PFR_POTENZA_NOMINALE_1,PFR_EFFICIENZA_MEDIA_1,PFR_EPREN_1,PFR_EPNREN_1,PFR_TIPO_IMPIANTO_2,PFR_ANNO_INSTALLAZIONE_2,PFR_VETTORE_ENERGETICO_2,PFR_POTENZA_NOMINALE_2,PFR_EFFICIENZA_MEDIA_2,PFR_EPREN_2,PFR_EPNREN_2,VM_TIPO_IMPIANTO,VM_ANNO_INSTALLAZIONE,VM_VETTORE_ENERGETICO,VM_POTENZA_NOMINALE,VM_EFFICIENZA_MEDIA,VM_EPREN,VM_EPNREN,ILL_TIPO_IMPIANTO,ILL_ANNO_INSTALLAZIONE,ILL_VETTORE_ENERGETICO,ILL_POTENZA_NOMINALE,ILL_EFFICIENZA_MEDIA,ILL_EPREN,ILL_EPNREN,TPC_TIPO_IMPIANTO_1,TPC_ANNO_INSTALLAZIONE_1,TPC_VETTORE_ENERGETICO_1,TPC_POTENZA_NOMINALE_1,TPC_EFFICIENZA_MEDIA_1,TPC_EPREN_1,TPC_EPNREN_1,TPC_TIPO_IMPIANTO_2,TPC_ANNO_INSTALLAZIONE_2,TPC_VETTORE_ENERGETICO_2,TPC_POTENZA_NOMINALE_2,TPC_EFFICIENZA_MEDIA_2,TPC_EPREN_2,TPC_EPNREN_2,SOPRALLUOGO,SW_REQUISITI,SW_SEMPLIFICATO,Limiti amministrativi 2015 delle province di Regione Lombardia,ENTE_PUBBLICO,ATS Regione Lombardia,Limiti amministrativi 2014 delle province di Regione Lombardia,TECNICO_ABILITATO,SOCIETA,NOME_DENOMINAZIONE_CERT,TITOLO_CERT,ORDINE_CERT,CODICE_IDENTIFICATIVO_PRATICA,DATA_CHIUSURA_PRATICA,INDIRIZZO_y,PROVINCIA,COMUNE_y,SEZIONE_y,SUBALTERNO_y,NOME_CERTIFICATORE,COGNOME_CERTIFICATORE,EDIFICIO_PUBBLICO,DESTINAZIONE_DI_USO,ANNO_COSTRUZIONE_y,MOTIVAZIONE_APE,SUPERFICIE_LORDA,SUPERFICIE_NETTA,VOLUME_LORDO,VOLUME_NETTO,SUPERFICIE_DISPERDENTE_y,SUPERFICIE_VETRATA_OPACA,TRASMITTANZA_MEDIA_INVOLUCRO,TRASMITTANZA_MEDIA_COPERTURA,TRASMITTANZA_MEDIA_BASAMENTO,TRASMITTANZA_MEDIA_SERRAMENTO,CLASSE_ENERGETICA_y,EPH,ETH,ETC,EFER,EMISSIONI_DI_CO2,EPW,EPT,EF_GLOB_MEDIA_RISCALDAMENTO,EF_GLOB_MEDIA_ACQUA_CALDA_SAN,EGHW,TIPOLOGIA_VENTILAZIONE,NUMERO_RICAMBI_ORARI,TIPOLOGIA_PANNELLO_ST,TIPOLOGIA_PANNELLO_FV,SUPERFICIE_CAPTANTE_FV,SUPERFICIE_APERTURA_ST,SUP_PAN_FV_SUP_UTILE,SUP_PAN_ST_SUP_UTILE,TIPOLOGIA_COMBUSTIBILE,TIPOLOGIA_GENERATORE,POTENZA_GENERATORE,surfdiff
22922,1511400020016,04/11/2016,True,False,INZAGO,,10,222,701,False,False,E.1(1),True,False,False,1.0,False,False,False,True,False,True,Annuncio commerciale,Lombardia,INZAGO,VIA GARIBALDI 6,,,45.53809004065412,9.483074994904696,"(45.53809004065412, 9.483074994904696)",E,1961-1976,176.95,71.97,676.46,293.44,True,True,False,True,False,False,yellow,green,False,A1,75.59,"A1 (80,77)",,1.69,14.61,637.62,1162.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,441.83,0.65,39.34,0.02,0.14,Generatore a combustione,2016.0,,Gas naturale,24.9,,,,,0.74,0.09,53.17,Pompa di calore,2016.0,Energia elettrica,5.5,,,,,1.65,1.58,6.56,Generatore a combustione,2016.0,Gas naturale,29.1,0.88,0.02,15.86,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,True,True,False,4.0,False,8.0,4.0,True,False,LUCIANO CONTI,Diploma di perito industriale o di istruzione tecnica,Collegio dei periti industriali,1511600065712,06-AGO-12,"VIA RESEGONE, 30",MI,LAINATE,,703,Luca,Mariani,NO,E.1(1),1961-1976,Trasferimento a titolo oneroso,109.93,89.99,384.84,275.79,425.14,0.0408,1.3032,1.6,1.4086,3.3416,G,471.2939,353.1252,8.0269,0,94.1576,30.6927,501.9866,0.75,0.64,0.74,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore tradizionale,19.80,0.037774709729986644
22926,1511400020016,04/11/2016,True,False,INZAGO,,10,222,701,False,False,E.1(1),True,False,False,1.0,False,False,False,True,False,True,Annuncio commerciale,Lombardia,INZAGO,VIA GARIBALDI 6,,,45.53809004065412,9.483074994904696,"(45.53809004065412, 9.483074994904696)",E,1961-1976,176.95,71.97,676.46,293.44,True,True,False,True,False,False,yellow,green,False,A1,75.59,"A1 (80,77)",,1.69,14.61,637.62,1162.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,441.83,0.65,39.34,0.02,0.14,Generatore a combustione,2016.0,,Gas naturale,24.9,,,,,0.74,0.09,53.17,Pompa di calore,2016.0,Energia elettrica,5.5,,,,,1.65,1.58,6.56,Generatore a combustione,2016.0,Gas naturale,29.1,0.88,0.02,15.86,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,True,True,False,4.0,False,8.0,4.0,True,False,LUCIANO CONTI,Diploma di perito industriale o di istruzione tecnica,Collegio dei periti industriali,10803900059715,29-GIU-15,"VIA DON LUIGI ORIONE, 23",MB,SEREGNO,,704,Giuseppe,Lagona,NO,E.1(1),1946-1960,Recupero sottotetto,128.16,101.81,475.6,304.86,424.96,0.0376,0.315,0.3202,0.29100000000000004,1.5494,D,107.3239,92.9108,14.0508,0,21.4367,26.2006,133.5245,0.87,0.73,0.84,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore a condensazione multistadio o modulante,24.10,0.038182106239956555
22946,1904900000816,15/06/2016,True,False,GOMBITO,,2,68,3,False,False,E.1(1),True,False,False,1.0,False,True,False,False,False,True,Annuncio commerciale,Lombardia,GOMBITO,VIA MARCONI 3,,,45.262165589982395,9.726020617270425,"(45.26216558998239, 9.726020617270423)",E,1961-1976,82.03,0.0,338.57,0.0,True,False,False,True,False,False,red,yellow,False,G,491.01,"A1 (73,48)",,0.0,93.43,0.0,3859.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,204.9,0.61,337.0,0.01,0.42,Impianto simulato in quanto assente,,,Gas naturale,,,,,,0.73,0.0,459.84,,,,,,,,,0.0,0.0,0.0,,,,,0.57,0.0,31.16,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,True,True,False,8.0,False,4.0,8.0,True,False,ALBERTO MIZZOTTI,Diploma di laurea in architettura,,1517500046915,25-SET-15,"VIA ANDREA MANTEGNA, 80",MI,PIOLTELLO,,1,Giuseppe,Parrilla,NO,E.1(1),1961-1976,Trasferimento a titolo oneroso,69.4,56.35,263.72,180.32,195.08,0.0477,0.9883,,1.15,4.6707,G,302.5634,224.9205,27.1895,0,60.4465,"1,050.3125","1,352.8759",0.74,0.02,0.18,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore multistadio o modulante|Generatore ACS,32.80,0.0479258174719375
22955,1910900001817,09/06/2017,True,False,TRESCORE CREMASCO,,2,68,502,False,False,E.1(1),True,False,False,1.0,False,True,False,False,False,True,Annuncio commerciale,Lombardia,TRESCORE CREMASCO,via della baldina 8,,,45.40532657877238,9.617774190087047,"(45.40532657877238, 9.617774190087049)",E,Dopo il 2006,82.36,0.0,302.33,0.0,True,False,False,True,False,False,red,yellow,False,G,402.7,"C (99,65)",,12.51,78.28,2192.41,2768.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,237.13,0.78,228.91,0.02,0.36,Generatore a combustione,2007.0,,Gas naturale,24.0,,,,,0.65,0.52,352.96,,,,,,,,,0.0,0.0,0.0,Scalda-acqua,2007.0,Energia elettrica,1.2,0.36,11.99,49.74,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,8.0,False,4.0,8.0,True,False,GIOVANNI CATTANEO,Diploma di geometra,Collegio dei geometri,1811000086812,17-FEB-12,"STRADA POLIGOGNA, 6",PV,PAVIA,G,1,Alessandro,Firpo,NO,E.1(1),1946-1960,Trasferimento a titolo oneroso,106.9,90.7,347.42,253.96,240.4,0.0597,1.1,1.4,1.5,3.3252,G,274.5814,209.4254,11.5264,0,54.855,29.3209,303.9023,0.76,0.67,0.75,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore multistadio o modulante,26.30,0.0137899042719184
23175,10803700001718,17/05/2018,True,False,RENATE,,3,471,709,False,False,E.1(1),True,False,False,2.0,False,False,True,False,False,True,Annuncio commerciale,Lombardia,RENATE,Via Roma 2,1,,45.727043869411666,9.282594210183305,"(45.72704386941167, 9.282594210183305)",E,Dopo il 2006,100.43,0.0,380.74,0.0,True,False,False,True,False,False,yellow,yellow,False,A1,56.22,"A2 (42,22)",,7.6,11.17,763.56,398.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,289.89,0.76,36.87,0.08,0.14,Impianto simulato per sottodimensionamento,,,Gas naturale,,Pompa di calore,2018.0,Energia elettrica,15.7,0.88,0.22,41.66,,,,,,,,,0.0,0.0,0.0,Pompa di calore,2018.0,Energia elettrica,15.7,1.14,7.38,14.55,,,,,,,,Pompa di calore,2018.0,Energia elettrica,15.7,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,12.0,False,5.0,12.0,True,False,MATTIA DELL'ORTO,Diploma di geometra,Collegio dei geometri,1813100001614,29-LUG-14,"VIA CRETA, N.6",PV,ROVESCALA,,0,Carlotta,Pionetti,NO,E.1(1),prima del 1930,Trasferimento a titolo oneroso,121.66,96,365.23,266.85,286.31,0.0444,1.2819999999999998,1.8,1.3776,4.92,G,350.5929,283.5111,8.2682,0,70.0318,305.0877,655.6806,0.81,0.06,0.46,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale|Energia elettrica,Generatore ad aria calda|Generatore ACS,12.50,0.012349511883817946
23179,10805300011816,20/09/2016,True,False,CORNATE D'ADDA,,7,46,702,False,False,E.1(1),True,False,False,1.0,False,False,False,False,False,True,Annuncio commerciale,Lombardia,CORNATE D`ADDA,Via A. Volta 71,,,,,,E,Dopo il 2006,139.28,0.0,549.47,0.0,True,False,False,True,False,False,red,red,False,F,141.68,"B (51,34)",,0.31,27.0,90.77,1873.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,3.0,Impianto climatizzazione - inverno,No,8.0,8.0,109.11,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,325.77,0.59,92.59,0.12,0.34,Generatore a combustione,1996.0,,Gas naturale,34.8,,,,,0.77,0.26,120.9,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,1996.0,Gas naturale,34.8,0.73,0.04,20.78,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,True,True,False,,False,,,True,False,Alessandro Quadri,Diploma di perito industriale o di istruzione tecnica,Collegio dei periti industriali,1711900006511,29-LUG-11,VIALE VITTORIO EMANUELE 49,BS,NUVOLENTO,NCT,1,Nicola,Naldini,NO,E.1(1),1946-1960,Ristrutturazione edilizia sopra il 25%,149.2,112.65,454.2,302.62,313.558,0.0769,0.384,0.336,0.491,1.4682,C,60.2202,54.3861,24.7219,12.2036,12.0275,27.1368,87.357,0.9,0.69,0.84,Aerazione - Ventilazione naturale,0.5000,Collettori piani vetrati,,,6.2000,,0.055,Gas naturale,Generatore a condensazione,26.00,0.037486570279645116
23189,10802100023719,02/10/2019,True,False,CONCOREZZO,,7,46,701,False,False,E.1 (1),True,False,False,1.0,False,True,False,False,False,True,Annuncio commerciale,Lombardia,CONCOREZZO,VIA CASCINA CAMPACCIO 17,,,45.599188806132425,9.350601961712169,"(45.59918880613242, 9.350601961712169)",E,1961-1976,82.54,0.0,393.14,0.0,True,False,False,True,False,False,red,yellow,False,G,479.87,"B (90,38)",,1.41,91.5,248.31,3748.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,Fabbricato - involucro opaco,No,10.0,10.0,357.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,259.94,0.66,253.23,0.01,0.49,Generatore a combustione,2013.0,,Gas naturale,31.0,,,,,0.55,1.36,460.77,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,2013.0,Gas naturale,31.0,0.89,0.06,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,12.0,False,5.0,12.0,True,False,ROBERTO SOLLO,Diploma di geometra,Collegio dei geometri,1812200002511,01-MAR-11,"STRADA PONTECURONE - VOGHERA, 24",PV,RIVANAZZANO,,7,Nicola,Marazzini,NO,E.1(1),prima del 1930,Contratto di locazione,69.54,52.656,234.35,144.803,252.376,0.0289,1.715,1.636,1.0590000000000002,3.0908,G,636.7493,484.9637,3.385,0,127.1939,72.5342,709.2835,0.76,0.31,0.72,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore tradizionale,22.20,0.029099022851427226
23197,1700400000916,11/03/2016,True,False,ALFIANELLO,,7,46,1,False,False,E.1(1),True,False,False,1.0,False,False,False,False,False,True,Annuncio commerciale,Lombardia,ALFIANELLO,VIA LIBERTA' 22,,,45.269633927451785,10.14524764638358,"(45.269633927451785, 10.14524764638358)",E,1993-2006,66.21,66.21,266.6,266.6,True,True,False,True,False,False,red,yellow,False,G,449.31,"A1 (112,43)",,2.1,83.84,0.0,2795.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,Fabbricato - involucro opaco,Si,10.0,6.0,152.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,306.87,1.15,307.22,0.02,0.27,Generatore a combustione,2004.0,,Gas naturale,24.0,,,,,0.74,0.0,417.47,Pompa di calore,2004.0,Energia elettrica,3500.0,,,,,0.88,2.1,8.72,Generatore a combustione,2004.0,Gas naturale,24.0,0.79,0.0,23.12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,True,True,False,6.0,False,2.0,6.0,True,False,ALESSANDRO BERTOLETTI,Laurea magistrale in architettura,Ordine degli architetti,1711900006511,29-LUG-11,VIALE VITTORIO EMANUELE 49,BS,NUVOLENTO,NCT,1,Nicola,Naldini,NO,E.1(1),1946-1960,Ristrutturazione edilizia sopra il 25%,149.2,112.65,454.2,302.62,313.558,0.0769,0.384,0.336,0.491,1.4682,C,60.2202,54.3861,24.7219,12.2036,12.0275,27.1368,87.357,0.9,0.69,0.84,Aerazione - Ventilazione naturale,0.5000,Collettori piani vetrati,,,6.2000,,0.055,Gas naturale,Generatore a condensazione,26.00,0.021794245120083384
23199,1700400000916,11/03/2016,True,False,ALFIANELLO,,7,46,1,False,False,E.1(1),True,False,False,1.0,False,False,False,False,False,True,Annuncio commerciale,Lombardia,ALFIANELLO,VIA LIBERTA' 22,,,45.269633927451785,10.14524764638358,"(45.269633927451785, 10.14524764638358)",E,1993-2006,66.21,66.21,266.6,266.6,True,True,False,True,False,False,red,yellow,False,G,449.31,"A1 (112,43)",,2.1,83.84,0.0,2795.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,Fabbricato - involucro opaco,Si,10.0,6.0,152.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,306.87,1.15,307.22,0.02,0.27,Generatore a combustione,2004.0,,Gas naturale,24.0,,,,,0.74,0.0,417.47,Pompa di calore,2004.0,Energia elettrica,3500.0,,,,,0.88,2.1,8.72,Generatore a combustione,2004.0,Gas naturale,24.0,0.79,0.0,23.12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,True,True,False,6.0,False,2.0,6.0,True,False,ALESSANDRO BERTOLETTI,Laurea magistrale in architettura,Ordine degli architetti,1619200002215,14-APR-15,"VIA CASTAGNETA, 13",BG,SANT'OMOBONO TERME,,0,Marco,Dolci,NO,E.1(1),prima del 1930,Trasferimento a titolo oneroso,138.7,96.67,412.61,251.77,307.9,0.0512,1.9638,0.7390000000000001,1.25,2.2452,G,300.8207,260.9743,1.8867,0,67.7801,24.5616,325.3823,0.87,0.79,0.86,Aerazione - Ventilazione naturale,0.5000,,,,,,,GPL,Generatore a condensazione,28.70,0.0033564701665199357
23205,1715100001516,26/02/2016,True,False,POZZOLENGO,,7,46,7,False,False,E.1(1),True,False,False,1.0,False,True,False,False,False,True,Annuncio commerciale,Lombardia,POZZOLENGO,traversa di strada dei grilli .,t,,45.42148480153318,10.635022269911696,"(45.42148480153319, 10.635022269911696)",E,1961-1976,38.43,0.0,165.23,0.0,True,False,False,True,False,False,red,yellow,False,G,508.6,"B (102,51)",,0.0,125.58,0.0,0.0,0.0,0.0,1538.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,Fabbricato - involucro opaco,Si,8.0,8.0,154.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,196.26,1.19,284.91,0.02,0.38,Generatore a combustione,1990.0,,Gasolio e olio combustibile,34.0,,,,,0.59,0.0,484.19,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,1990.0,Gasolio e olio combustibile,34.0,0.73,0.0,24.41,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,True,True,False,6.0,False,2.0,6.0,True,False,ALESSANDRO PERBELLINI,Diploma di perito industriale o di istruzione tecnica,Ordine degli ingegneri,1518100006611,16-MAR-11,"VIALE LOMBARDIA, 16",MI,RESCALDINA,,753,Oreste Benvenuto,Barbaglia,NO,E.1(1),1930-1945,Contratto di locazione,129.24,93.15,339.33,217.92,202.03,0.0441,0.4115,0.7684,1.1667,1.9267,E,126.9504,95.3719,12.8903,0,25.362,35.3013,162.2517,0.75,0.55,0.71,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore multistadio o modulante,23.90,0.029399775807602214
23265,1519100012616,07/10/2016,True,False,SAN COLOMBANO AL LAMBRO,,19,125,0,False,False,E.1(1),True,False,False,1.0,False,False,True,False,False,True,Annuncio commerciale,Lombardia,SAN COLOMBANO AL LAMBRO,VIA STEFFENINI 71,,,45.18362664452736,9.484634022461432,"(45.18362664452736, 9.484634022461432)",E,1946-1960,55.1,0.0,218.3,0.0,True,False,False,True,False,False,red,green,False,G,550.84,"B (71,44)",,0.0,104.82,0.0,2908.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,Fabbricato - involucro opaco,No,8.0,10.0,427.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,115.92,0.53,379.68,0.02,0.1,Generatore di aria calda,1970.0,,Gas naturale,27.0,,,,,0.73,0.0,523.23,,,,,,,,,0.0,0.0,0.0,Scalda-acqua,1970.0,Gas naturale,19.0,0.68,0.0,27.61,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,True,True,False,4.0,False,8.0,4.0,True,False,MATTEO BRACCHI,Diploma di geometra,Collegio dei geometri,1518200154212,27-NOV-12,"VIA PORTA RONCA, 19",MI,RHO,,703,Maria Michela,Sparacino,NO,E.1(1),1930-1945,Trasferimento a titolo oneroso,71.5,58.3,228.8,156.02,118.03,0.0659,1.25,,1.75,2.157,G,254.6489,174.5985,7.1974,0,50.8767,62.4079,317.0568,0.69,0.35,0.62,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore tradizionale,26.70,0.018202208419599717
